"PA";1193.94;1222.87;1273.02;1373.32;1465.9;1535.34;1633.71;1649.14;2852.72;2931.8;3300.2;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1465.9;1631.78;1651.07;2854.65;2927.94;3296.35;;;;;;
"PA";1193.94;1222.87;1271.09;1369.46;1463.97;1631.78;1651.07;2856.58;2926.01;3296.35;;;;;;
"PA";1192.01;1222.87;1273.02;1377.17;1465.9;1529.55;1631.78;1654.92;2858.51;2937.59;3300.2;;;;;
"PA";1195.87;1222.87;1271.09;1371.39;1465.9;1633.71;1651.07;2858.51;2929.87;3300.2;;;;;;
"PA";1193.94;1222.87;1273.02;1367.53;1463.97;1535.34;1637.56;1645.28;2858.51;2933.73;3300.2;;;;;
"PA";1192.01;1222.87;1269.16;1369.46;1460.11;1633.71;1651.07;2858.51;2937.59;3300.2;;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1463.97;1633.71;1651.07;2854.65;2933.73;3292.49;;;;;;
"PA";1193.94;1222.87;1271.09;1369.46;1463.97;1537.27;1633.71;1651.07;2852.72;2931.8;3298.28;;;;;
"PA";1193.94;1222.87;1271.09;1365.6;1463.97;1529.55;1631.78;1651.07;2854.65;2931.8;3294.42;;;;;
"PA";1193.94;1224.8;1274.95;1375.25;1465.9;1529.55;1631.78;1647.21;2856.58;2933.73;3296.35;;;;;
"PA";1193.94;1222.87;1273.02;1371.39;1529.55;1633.71;1647.21;2858.51;2935.66;3298.28;;;;;;
"PA";1193.94;1224.8;1271.09;1369.46;1463.97;1633.71;1656.85;2856.58;2937.59;3296.35;;;;;;
"PA";1193.94;1224.8;1269.16;1365.6;1465.9;1645.28;2850.79;2935.66;3290.56;;;;;;;
"PA";1193.94;1222.87;1271.09;1369.46;1463.97;1631.78;1651.07;2858.51;2935.66;3302.13;;;;;;
"PA";1193.94;1222.87;1273.02;1379.1;1467.83;1527.62;1635.64;1651.07;2852.72;2926.01;3292.49;;;;;
"PA";1193.94;1222.87;1271.09;1371.39;1465.9;1527.62;1633.71;1651.07;2856.58;2933.73;3298.28;;;;;
"PA";1195.87;1224.8;1273.02;1369.46;1465.9;1527.62;1631.78;1651.07;2858.51;2935.66;3298.28;;;;;
"PA";1193.94;1222.87;1271.09;1369.46;1465.9;1631.78;1645.28;2858.51;2931.8;3296.35;;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1463.97;1635.64;1645.28;2856.58;2933.73;3296.35;;;;;;
"PA";1193.94;1222.87;1271.09;1369.46;1465.9;1656.85;2858.51;2935.66;3300.2;;;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1465.9;1629.85;1643.35;2854.65;2939.52;3296.35;;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1463.97;1539.2;1656.85;2856.58;2935.66;3304.06;;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1463.97;1537.27;1631.78;1651.07;2858.51;3300.2;;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1633.71;1656.85;2856.58;2937.59;3296.35;;;;;;;
"PA";1195.87;1222.87;1271.09;1371.39;1463.97;1539.2;1631.78;1649.14;2854.65;2933.73;3292.49;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1463.97;1631.78;1643.35;2856.58;3298.28;;;;;;;
"PA";1193.94;1222.87;1271.09;1369.46;1465.9;1631.78;1643.35;2856.58;2931.8;3294.42;;;;;;
"PA";1193.94;1222.87;1271.09;1367.53;1467.83;1631.78;1643.35;2856.58;2933.73;3302.13;;;;;;
"PA";1193.94;1222.87;1271.09;1369.46;1463.97;1631.78;1645.28;2854.65;2935.66;3296.35;;;;;;
